Muestreo,Fecha,Hora,Fecha,ZT,Notas,Promedio,CTL1,CTL2,CTL3,CTL4,CTL5,CTL6,CTL7,CTL8,APS1,APS2,APS3,APS4,APS5,APS6,APS7,APS8,RPS2,RPS3,RPS4,RPS5,RPS6,RPS7,RPS8,,,,,,,,
1,,,27/01/2022 12:55,0,CONTROL,,38,38,37.75,37.625,37,37.75,37.625,38.25,37.625,37.625,36.875,37.5,37.25,38.5,38.375,37.875,37.125,38.125,38,37.75,38,37,37.625,,,,,,,,
2,,,27/01/2022 13:25,0.5,,,37.625,37.375,37.625,37.625,37.25,37.625,37.375,37.875,37.75,37.375,37.125,37.5,37.625,38,38.25,37.375,37.25,38.125,37.25,37.5,37.875,37.125,37.5,,,,,,,,
3,,,27/01/2022 13:55,1,,,37.75,37.125,37.5,37.375,37.25,37.25,37.375,37.625,37.625,37.125,37,37.375,37.375,37.375,38,37.375,37.25,37.75,37.5,37.75,37.5,37.25,37.625,,,,,,,,
4,,,27/01/2022 14:25,1.5,,,37.75,37.625,38,37.625,37.25,37.375,37.625,37.5,37.75,37.125,37.125,37.25,37.125,37.625,38,37.5,37.5,37.625,37.375,37.5,37.375,37.125,37.375,,,,,,,,
5,,,27/01/2022 14:55,2,,,37.5,37.375,37.5,37.75,37.125,37.375,38,37.625,37.875,36.875,37.625,37.375,36.75,36.875,37.625,37.25,37.125,38.125,37.5,37.375,37.625,37,37.5,,,,,,,,
6,,,27/01/2022 15:25,2.5,,,37.625,37.625,37.5,37.875,37.25,37.375,37.625,37.75,38,37.25,38.375,37.375,37.125,37.375,37.75,36.625,37.125,37.625,37.875,37.625,37.5,37,37.375,,,,,,,,
7,,,27/01/2022 15:55,3,,,37.375,37.625,37.5,37.875,37,37.25,37.625,37.5,37.875,37,37.5,37.75,36.875,37.5,37.375,37.125,37.25,37.875,37.875,37.125,37.5,37.125,37.25,,,,,,,,
8,,,27/01/2022 16:25,3.5,,,37.5,37.625,37.625,37.75,37,37.375,37.5,37.5,38,37.5,37.375,37.375,37.125,37.375,37.625,37.125,37.375,37.875,37.75,37.375,37,37.125,37.5,,,,,,,,
9,,,27/01/2022 16:55,4,,,37.625,37.625,37.875,37.75,37.125,37.125,37.25,37.75,37.75,37.875,37.125,37.25,37.875,37.5,37.875,37.125,37.875,37.75,38,37.5,37.625,37.125,37.375,,,,,,,,
10,,,27/01/2022 17:25,4.5,,,37.375,37.5,37.625,37.25,37.125,38.125,37.375,37.875,37.75,37.625,36.875,37.625,37.5,37.375,38.375,37.375,37.375,37.875,37.625,37.875,37.5,37.125,37.375,,,,,,,,
11,,,27/01/2022 17:55,5,,,37.375,37.375,37.625,37.75,37,37.625,37.25,37.625,37.75,37.375,38.125,37.625,37.375,37.25,37.75,37,37.25,37.75,37.625,38,37.75,37.125,37.375,,,,,,,,
12,,,27/01/2022 18:25,5.5,,,37.375,37.375,37.25,37.75,37.25,37.375,37,37.625,37.5,37.25,37.375,37.125,37.125,37.375,37.875,37.625,37.375,37.75,37.75,37.625,37.75,36.5,37.25,,,,,,,,
13,,,27/01/2022 18:55,6,,,37.25,37.5,37.375,37.25,37.25,37.25,36.625,37.375,37.625,37.25,37.25,37.25,37.125,37.5,37.75,37.25,37.875,37.625,37.5,37.625,37.5,36.625,37.5,,,,,,,,
14,,,27/01/2022 19:25,6.5,,,37.625,37.875,38.375,38.125,38.375,37.25,36.75,37.625,37.75,37.375,37.375,37.375,37.5,37.5,37.875,37,37.625,37.75,37.625,37.5,37.625,37.375,37.5,,,,,,,,
15,,,27/01/2022 19:55,7,,,37.75,37.875,37.875,38.125,37.875,37.75,37.875,37.5,37.75,37.375,36.875,37.625,37.125,37.25,37.75,36.875,37.625,37.5,38,37.125,37.5,37.625,37.625,,,,,,,,
16,,,27/01/2022 20:25,7.5,,,37.875,37.625,37.875,37.75,37.25,37.625,37.625,37.625,37.625,37.5,36.75,37.5,37.25,37.25,38.125,36.75,37.375,37.625,37.625,37.5,37.375,37.25,37.5,,,,,,,,
17,,,27/01/2022 20:55,8,,,38.25,37.625,37.75,37.75,37.375,37.875,37.875,37,37.75,37.25,37.25,37.25,37,38.375,38,37.25,37.25,37.5,37.625,37.625,37.375,37.25,37.625,,,,,,,,
18,,,27/01/2022 21:25,8.5,,,38.125,37.75,39,37.875,37.375,37.75,38,37.625,37.625,37.5,37.625,37.25,36.875,37.75,37.75,37.75,37.125,37.5,37.5,37.75,37.375,37.125,37.125,,,,,,,,
19,,,27/01/2022 21:55,9,,,38.5,37.5,38.25,37.875,37.125,37.875,38,37.25,38.25,38.5,37.875,36.625,37.125,37.5,37.875,37.5,37.125,37.5,37.625,37.875,37.625,37.375,37.5,,,,,,,,
20,,,27/01/2022 22:25,9.5,,,38.125,37.5,38,38,37.875,38,37.875,37.375,38,38.25,37.5,37.625,37.625,38.125,37.375,38,37.25,37.375,37.5,37.75,38.125,37.5,37.125,,,,,,,,
21,,,27/01/2022 22:55,10,,,38.125,37.625,38,37.875,37.875,37.875,38.625,37.625,38,37.875,37.25,37.375,37.625,38.125,38,38,37.125,37.75,37.625,37.75,38.125,36.375,37.375,,,,,,,,
22,,,27/01/2022 23:25,10.5,,,38.125,37.875,37.5,38,37.5,37.5,38.5,37.5,37.75,37.5,38,37.625,37.625,37.75,37.875,37.75,37,37.875,37.625,37.625,37.875,36.625,37.25,,,,,,,,
23,,,27/01/2022 23:55,11,,,38.25,37.625,37.625,38.5,37.625,37.75,38.375,37.875,37.625,37.75,37.25,37.5,37.75,38.5,37.625,37.75,37.25,38.25,38,38.125,38,37.5,37.375,,,,,,,,
24,,,28/01/2022 00:25,11.5,,,38.25,38,38,38.5,37.875,37.875,38.625,37.75,37.75,37.5,37.25,37.5,37,38.375,37.5,37.625,37,38,38.125,38,37.75,37.375,37.875,,,,,,,,
25,,,28/01/2022 00:55,12,,,38.25,37.875,38.375,37.625,37.875,37.875,38.125,37.5,37.75,37.5,37.625,38.375,36.875,37.75,37.625,37.25,37.75,38,38.125,37.5,37.625,37.375,37.5,,,,,,,,
26,,,28/01/2022 01:25,12.5,,,38.875,38.375,37.875,38,38.375,38.25,38.125,37.875,37.625,38.5,36.5,37.625,36.875,37.5,37.625,37.25,37.5,38.25,37.5,37.625,37.75,36.75,37.875,,,,,,,,
27,,,28/01/2022 01:55,13,,,38.375,38.125,37.875,38.75,38,38.125,38.375,38.375,37.375,37.875,37.125,37.375,36.875,37.625,37.75,37.125,37.375,38.75,38,37.625,38.25,37.875,37.75,,,,,,,,
28,,,28/01/2022 02:25,13.5,,,38.25,39,37.75,38.25,38.5,37.875,38,38.125,37.375,37.5,37,38.125,36.875,37.5,38,38.375,37.875,38.625,38.625,37.875,38,38.25,38.375,,,,,,,,
29,,,28/01/2022 02:55,14,,,38.375,38.25,38.375,38.5,38.25,38.125,38.375,38.125,38,38.625,36.875,37.5,37.875,38.875,37.875,37.5,37.75,38.5,38.125,38.25,38.25,37.5,38.25,,,,,,,,
30,,,28/01/2022 03:25,14.5,,,38.5,38.125,38,38.625,37.875,38.125,37.625,38,37.625,38.375,37.375,37.625,38.5,38.625,37.875,37.375,37.75,39,38.25,38.75,38.375,37.875,38,,,,,,,,
31,,,28/01/2022 03:55,15,,,38.5,38.75,37.625,38.125,38.125,38.875,38.25,38.125,37.75,37.625,37.5,38.625,37.375,37.875,37.75,37.5,37.75,39.375,38.125,38.25,38.5,38.25,38,,,,,,,,
32,,,28/01/2022 04:25,15.5,,,38,38.75,37.875,38.25,38,38.375,38.25,38.125,37.5,38.625,37.25,38.25,37.5,37.875,37.75,37.5,37.75,39,38.125,38,38.125,37.75,38,,,,,,,,
33,,,28/01/2022 04:55,16,,,38,38,38.625,38.5,37.625,38.625,38.625,38.375,38.125,38.375,37.25,38.375,37.25,37.375,38,37.5,37.5,38.875,38.125,38,38.625,37.5,37.875,,,,,,,,
34,,,28/01/2022 05:25,16.5,,,38.5,37.75,38,37.875,38,38.25,37.875,38.125,38.375,37.75,38.125,38,38.25,38,38.75,38.75,37.625,39,38.25,38,38.125,37.5,37.875,,,,,,,,
35,,,28/01/2022 05:55,17,,,38.375,39,38,38.5,38,37.625,38,38.5,38.125,37.625,37.625,38.375,37.5,38.375,38.125,38,37.75,38.75,38,38.5,38,38,37.875,,,,,,,,
36,,,28/01/2022 06:25,17.5,,,38.125,38,38,38,38,37.75,38,38.625,38.25,37.625,37.25,38,38,38.5,38.25,37.75,37.875,38.375,38,38.125,38,37.375,38,,,,,,,,
37,,,28/01/2022 06:55,18,,,38.25,37.625,38.25,37.75,37.625,37.875,38.625,38.375,37.375,38.5,36.625,37.75,37.875,38.125,37.875,38.75,38.125,38.375,37.875,38.125,38.125,37.125,37.875,,,,,,,,
38,,,28/01/2022 07:25,18.5,,,37.875,37.75,38,38.375,37.25,38,37.875,38.25,38,38.125,36.75,37.75,37.375,37.875,38,37.75,37.625,38,38.75,37.875,38.125,37.25,38,,,,,,,,
39,,,28/01/2022 07:55,19,,,38,38,37.75,38.25,37.5,38.75,37.5,38.625,38.25,37.875,36.75,37.875,37.5,38.375,38,37.5,37.75,38.375,37.75,37.5,38.5,38.375,37.75,,,,,,,,
40,,,28/01/2022 08:25,19.5,,,38.375,37.5,37.625,38,37.25,38.25,37.75,38.5,37.875,38.375,37.25,38,38,39,38.625,37.5,37.375,38.625,37.625,37.625,37.875,38.125,38,,,,,,,,
41,,,28/01/2022 08:55,20,,,38.125,37.75,37.625,37.875,37.375,38.125,39,38,38.25,38.375,37.875,38,38.25,38.375,38.375,37.625,37.625,38.75,37.75,37.375,37.875,37.625,37.875,,,,,,,,
42,,,28/01/2022 09:25,20.5,,,38.5,38.375,37.375,37.5,37.75,37.625,38,38.25,38.25,37.625,37.5,38.375,37.625,38,38.25,38,38.25,38.75,37.5,38.375,38.125,37.5,37.75,,,,,,,,
43,,,28/01/2022 09:55,21,,,38,37.875,37.5,37.875,37.875,37.625,37.25,38.875,38.375,38.625,37.125,38,37.625,37.375,38.5,37.5,37.875,38.5,37.75,38.25,37.5,37.625,37.875,,,,,,,,
44,,,28/01/2022 10:25,21.5,,,38.125,37.875,38.25,37.875,37.75,37.875,37.5,38.375,38.375,38.5,37.25,37.5,37.375,37.875,38.125,37.375,38,38.25,37.875,38.125,38.125,38.125,38.25,,,,,,,,
45,,,28/01/2022 10:55,22,,,38.375,37.625,38,38.5,37.125,38,37.5,38.625,38,38,37.125,38.25,37.625,37.75,37.75,37.625,37.875,38.5,38,38.25,38,38.25,38.375,,,,,,,,
46,,,28/01/2022 11:25,22.5,,,37.875,38.25,37.625,38,37.25,38.125,38,38.625,38.25,38,36.625,38.125,38.25,38.25,38.375,37.5,38,39.25,38.375,38,38.25,38.375,38.25,,,,,,,,
47,,,28/01/2022 11:55,23,,,38.125,38.125,38.375,38.625,37.75,37.75,37.75,37.75,38.125,37.625,37.375,37.75,38.375,38.75,38.125,38.125,37.625,38.75,37.5,38.75,38.25,37.625,37.875,,,,,,,,
48,,,28/01/2022 12:25,23.5,,,38.25,38.125,38,38.125,37.25,37.625,37.375,38.25,37.5,37.625,37,37.875,37.625,38.25,38.125,37.875,37.75,38.5,37.75,37.875,37.5,37.5,38.125,,,,,,,,
49,,,28/01/2022 12:55,0,,,38,38.125,37.5,37.875,37,37.375,37.375,38,37.5,37.375,36.375,37.5,36.875,37.875,38,37.75,38,38.5,38.125,37.875,37.875,37.125,37.625,,,,,,,,
50,,,28/01/2022 13:25,0.5,,,38,37.625,37.375,38,37.5,37.875,37.25,38,37.125,37.375,36.5,37.875,37.25,37.5,37.875,37.5,37.375,38.625,37.125,37.625,38,37,38.125,,,,,,,,
51,,,28/01/2022 13:55,1,,,37.875,37.375,37,37.375,37.125,37.125,37,37.875,37.25,37.375,36.25,37.25,37.125,37.25,37.75,37.25,37.5,38.125,37,37.625,38.25,37,38.25,,,,,,,,
52,,,28/01/2022 14:25,1.5,,,37.75,37.625,37,37.625,37.125,37.125,37.125,37.875,37.25,37.5,36.5,37.375,37.25,37.5,37.125,37.5,37.25,38.125,37.375,37.125,38,37,37.875,,,,,,,,
53,,,28/01/2022 14:55,2,,,38,37.5,37.125,37.75,37.125,37.25,37.375,37.625,37.25,37,37.25,37.375,37.25,37.5,37.25,37.25,37.125,37.875,37.625,37.25,34.25,37.375,37.375,,,,,,,,
54,,,28/01/2022 15:25,2.5,,,37.875,37.25,37.125,37.625,37,37.25,37,38,37.125,37.375,37.625,37.625,36.875,37.625,37.75,37,37.125,37.75,37.25,37.125,32,36.75,36.5,,,,,,,,
55,,,28/01/2022 15:55,3,,,37.75,37.25,36.875,37.75,37.625,37.125,37.625,38,37.625,37.625,36.625,37.625,37.125,37.25,37.875,37.25,36.875,37.375,37.25,37.25,33.875,36.75,36.75,,,,,,,,
56,,,28/01/2022 16:25,3.5,,,37.75,37.125,37.375,37.75,37.5,37.125,37.25,37.875,37.625,37.625,36.875,37.5,36.875,37.5,37.875,36.625,36.875,37.875,37.75,37,32.625,36.125,38.125,,,,,,,,
57,,,28/01/2022 16:55,4,,,37.5,38.25,37.25,37.75,37.125,37,37.375,37.625,37.5,37.625,36.625,37.625,37.875,37.25,37.875,37.375,36.875,37.625,37.375,37.5,34.375,36.375,40,,,,,,,,
58,,,28/01/2022 17:25,4.5,,,37.625,37.625,37.625,37.625,37,37.75,37.625,37.5,37.5,36.875,36.375,38.375,37.625,37.25,37.625,37.25,37.25,37.625,38,37.375,36,36.375,40,,,,,,,,
59,,,28/01/2022 17:55,5,,,37.5,37.25,37,37.625,37,37.75,37.375,37.5,37.125,37.125,36.5,37.25,37.25,37,37.5,37.125,36.625,37.5,37.5,37.125,36,36.5,39.375,,,,,,,,
60,,,28/01/2022 18:25,5.5,,,37.375,37.25,37.625,37.625,36.75,37.625,37,37.5,37.5,37.125,37.25,37.375,37.125,38.25,37.625,37.125,37.125,38,37.5,37.125,35.5,37.25,38.25,,,,,,,,
61,,,28/01/2022 18:55,6,,,37.75,37,37.25,37.375,37.375,37.75,37.125,37.5,37.5,36.625,36.375,37.375,37.125,38.125,37.5,36.875,37.375,38.125,37.5,36.875,36.875,36.875,38.25,,,,,,,,
62,,,28/01/2022 19:25,6.5,,,37.75,37.25,37.25,37.625,37.375,37.75,37.375,37.5,37.375,37.25,36,37.5,36.875,37.75,37.625,37.25,37.375,38.125,37.75,36.75,37.5,37,37.875,,,,,,,,
63,,,28/01/2022 19:55,7,,,37.625,37.5,37.25,37.75,37.375,37.875,37.25,37.125,37.375,37.125,36.625,37,36.875,37.75,37.625,37,37.375,37.75,37.375,37.125,37.5,36.875,36.875,,,,,,,,
64,,,28/01/2022 20:25,7.5,,,37.5,37.5,37.375,37.25,37.375,37.75,37.125,37.375,38,37.5,36.375,37.125,38.375,37.5,37.5,36.875,36.75,38,37.375,37.125,37.25,36.125,37.25,,,,,,,,
65,,,28/01/2022 20:55,8,,,37.625,37.625,37,37.75,37.25,37.75,37.5,37.75,37.25,37.625,36.25,36.875,37.375,37.5,37.625,37.375,36.625,38,37.875,37.25,37.625,36.875,36.625,,,,,,,,
66,,,28/01/2022 21:25,8.5,,,37.625,37.375,37.5,37.625,37.125,37.625,37.25,38.125,37.75,36.875,36.375,36.75,36.625,37.5,37.625,37.25,36.375,38,37.625,37.5,37.25,36.75,36.875,,,,,,,,
67,,,28/01/2022 21:55,9,,,37.625,37.5,37.375,37.5,37.375,37.625,37.5,38.375,37.75,37.375,36.125,36.5,36.875,37.75,37.625,36.75,36.375,37.625,37.375,38,37.5,36.5,36.5,,,,,,,,
68,,,28/01/2022 22:25,9.5,,,38.125,38,37.5,38.375,37.75,37.5,38,38,37.25,36.5,36.75,37.75,37.125,37.875,37.75,37,36.125,37.5,37.5,37.5,37.75,37.125,36.625,,,,,,,,
69,,,28/01/2022 22:55,10,,,38.25,37.75,37.625,38,37.25,37.625,37.375,38.375,37.75,37.375,37.125,36.875,37.375,38.5,36.875,38.125,36.375,37.5,37.625,37.25,37.75,36.875,37.125,,,,,,,,
70,,,28/01/2022 23:25,10.5,,,38.125,37.5,37.5,37.5,37.5,38,37.125,38.125,38.125,37.25,36.625,37.125,37.125,38,37.75,37.625,36.875,37.5,37.625,37.25,38.375,37.125,37,,,,,,,,
71,,,28/01/2022 23:55,11,,,37.625,37.25,38,37.5,37.5,38,37.25,38.125,37.875,37,36.625,37.125,37.5,37.875,37.75,37,36.625,38.125,37.875,36.875,38.375,36.25,37.875,,,,,,,,
72,,,29/01/2022 00:25,11.5,,,37.875,37.5,37.875,37.625,37.375,37.75,37.5,37.625,37.375,36.75,36.25,37.25,37.75,38,37.625,37.625,36.5,38.125,37.5,37.125,38.5,36.375,37.25,,,,,,,,
73,,,29/01/2022 00:55,12,,,37.875,38,37.5,38.125,37.875,37.5,37.5,38.25,37.875,37.125,36.5,37,37.125,37.25,38,37.625,37.25,38.25,37.375,37.875,38.5,37.125,37.5,,,,,,,,
74,,,29/01/2022 01:25,12.5,,,38,37.75,37.875,38.5,37.625,37.5,37.875,37.625,38.125,37.75,36.625,37.125,37.125,37.875,37.875,37.75,37.75,37.75,37.625,37.875,38.5,37,37.5,,,,,,,,
75,,,29/01/2022 01:55,13,,,38,37.75,38,38.5,37.75,37.5,37.625,37.75,37.75,37.375,36.75,37.625,37.125,38.125,38.125,37.75,37.375,37.875,38,37.75,38.5,37,37.5,,,,,,,,
76,,,29/01/2022 02:25,13.5,,,38.125,38.5,36.875,38.125,38.375,37.625,37.875,38.125,37.875,38.125,36.625,37.375,37.25,37.75,37.75,37.375,37.25,38.375,38.125,37.75,38.625,37.5,37.75,,,,,,,,
77,,,29/01/2022 02:55,14,,,38.125,38.625,37.75,37.875,38.25,38.125,37.875,38.125,38.125,37.625,37.625,37.75,36.875,37.5,38.5,38.5,38,38.25,38.125,37.875,38.75,37.875,37.625,,,,,,,,
78,,,29/01/2022 03:25,14.5,,,38,37.75,38.875,38.625,37.75,37.875,38.125,37.875,38,38,38,38.25,37.875,37.875,38.25,37.25,37,38,38.25,38,38.5,37.875,37.625,,,,,,,,
79,,,29/01/2022 03:55,15,,,38,37.75,37.875,38.25,38.125,38.375,37.875,37.625,37.875,37.875,37.375,37.625,37.375,38.25,38.25,37.5,36.625,39,37.625,38.375,38.25,37.875,37.75,,,,,,,,
80,,,29/01/2022 04:25,15.5,,,38.375,38.75,38.375,37.875,38.625,38.375,38.625,37.75,38.25,38,37.125,38.375,37,38.75,38.25,37.25,37.125,38.5,38.375,37.625,38.25,37.75,37.875,,,,,,,,
81,,,29/01/2022 04:55,16,,,38,38.625,38.875,38.5,38.25,38.125,38.125,37.875,38.25,38.125,37.5,37.875,37.25,38.5,37.875,37.25,37.25,37.875,37.875,37.75,38.25,37.75,37.75,,,,,,,,
82,,,29/01/2022 05:25,16.5,,,38.125,38.25,38.625,38.25,38.125,38.375,38.25,38.125,38.375,37.875,37.875,37.625,37.5,38,38.75,37.875,37.25,38.125,38.125,37.75,38,38.25,37.875,,,,,,,,
83,,,29/01/2022 05:55,17,,,38.5,38.375,37.875,38.75,38.125,37.875,38.625,38,38.5,37.875,37.5,38.625,38.25,38,38.625,38.25,36.5,38.375,38,37.5,38.125,37.75,37.875,,,,,,,,
84,,,29/01/2022 06:25,17.5,,,38.25,38.25,38.25,38.25,38.5,37.5,38.375,38.375,38.25,37.75,37.5,37.5,38,37.875,38.25,37.5,36.375,38.125,38.125,37.75,37.75,37.25,37.75,,,,,,,,
85,,,29/01/2022 06:55,18,,,38,38.625,38.875,37.75,38,37.625,38,37.875,37.625,37.625,37.25,37.75,37.75,38.125,37.875,37.375,36.625,38.875,37.5,38.125,37.875,37.375,37.875,,,,,,,,
86,,,29/01/2022 07:25,18.5,,,38,38.125,38.375,37.75,38,37.25,38.625,38.125,37.875,38.375,37.625,37.25,37.75,39,38,38.375,36.875,38.375,38.125,38.5,37.75,37.25,37.625,,,,,,,,
87,,,29/01/2022 07:55,19,,,38.25,37.875,38,38.625,38.75,37.375,37.75,37.875,38.625,38.5,37.625,37.25,37.75,39,37.875,37.75,36.625,38.125,38.375,37.75,38.125,37.625,38,,,,,,,,
88,,,29/01/2022 08:25,19.5,,,38,38.5,38,38.5,38.375,38.125,37.875,38.25,38.375,38.375,37.75,37.25,37.875,38.75,37.375,37.25,36.875,38.125,37.75,38.25,37.625,37.875,37.75,,,,,,,,
89,,,29/01/2022 08:55,20,,,38.5,37.625,38,37.75,38,38.125,38.625,38.25,38,37.875,38.25,37.125,37.5,38.25,37.875,37.125,37.375,38.25,37.625,37.875,38,37.125,37.875,,,,,,,,
90,,,29/01/2022 09:25,20.5,,,38.125,38.5,37.25,37.75,38.125,38,38.125,38,38.375,37.875,37.75,37.375,37.375,37.5,38.375,37,37.25,38.5,37.375,37.25,37.875,37.625,37.75,,,,,,,,
91,,,29/01/2022 09:55,21,,,38.25,38.25,37.75,37.75,38,37.75,37.625,38.125,38.25,37.5,37.625,37.25,37.875,38.125,39,37,36.625,38.375,38.125,37,38,38.125,38.25,,,,,,,,
92,,,29/01/2022 10:25,21.5,,,38.5,38.125,38.25,37.75,38.75,37.5,38,38.5,37.625,37.875,37.5,37.625,37.75,37.875,38.625,38.5,37.125,38.125,37.5,37.5,38.375,38,38,,,,,,,,
93,,,29/01/2022 10:55,22,,,38.25,38.125,38.375,38.375,38.5,37.75,37.75,38.125,38.25,38.25,37.625,37.25,37.75,38.125,38.25,37.875,37.625,38.625,37.625,38.125,38,37.875,38.25,,,,,,,,
94,,,29/01/2022 11:25,22.5,,,37.625,38.875,38,38,38.125,37.75,38.375,38,37.375,38.125,38.125,37.875,37.5,38.875,38.5,38,37.625,38.625,37.625,38.5,38.25,38,37.625,,,,,,,,
95,,,29/01/2022 11:55,23,,,38.125,38.875,37.875,37.625,37.75,38.125,37.75,38.25,38.125,38.5,37.5,37.5,37.625,38.5,38.625,38.375,36.875,38.375,37.375,37.875,38,37.625,38.25,,,,,,,,
96,,,29/01/2022 12:25,23.5,,,37.5,38.25,38.875,37.875,38.125,37.75,37.75,37.875,37.125,37.875,37.375,37.375,37.25,37.625,38.25,38.125,36.75,38.375,38.125,37.875,37.75,37.875,38.125,,,,,,,,
97,,,29/01/2022 12:55,0,,,37.875,38,38.375,38,37.75,37.75,37.125,38,37.625,37.125,37.25,37.125,37.75,38,38.25,37.375,36.75,38.375,37.75,37.75,38,37.25,37.75,,,,,,,,
98,,,29/01/2022 13:25,0.5,,,37.375,38,37.125,37.75,37.625,37.375,37.375,38,37.75,37.25,36.875,37.25,37.5,37.875,37.625,37.75,36.75,38.25,37.75,37.625,38.25,37.125,37.75,,,,,,,,
99,,,29/01/2022 13:55,1,,,37.75,38,37.5,37,37.375,37.25,37.375,37.75,37.5,37.25,36.75,36.875,36.875,37.5,37.5,37.25,36.625,38,37.625,37.5,37.75,36.875,38,,,,,,,,
100,,,29/01/2022 14:25,1.5,,,37.75,37.75,37.5,37.75,37.5,37.5,37.25,37.5,37.5,37.5,36.75,37.125,36.875,37.5,37.875,37.75,36.75,37.875,37.75,37.875,37.875,37.125,38,,,,,,,,
101,,,29/01/2022 14:55,2,,,37.625,37.625,37.75,37.5,37.375,37.25,37.5,37.625,37.375,37.5,37,37.875,37.375,37.625,38,37.375,36.625,37.875,37.75,37.375,38,37,37.625,,,,,,,,
102,,,29/01/2022 15:25,2.5,,,38,37.625,37.625,36.625,37.375,37.5,37.625,37.75,37.5,36.875,37.625,37.5,37.25,38,38.5,37.25,37.125,37.875,38.125,37.375,37.875,36.75,37.625,,,,,,,,
103,,,29/01/2022 15:55,3,,,37.75,37.625,37.75,37.25,37.5,37.5,37.5,37.625,37.125,37.875,38.375,37.375,37.125,37.75,37.75,37.375,36.875,37.875,37.75,37.875,38.25,36.875,37.5,,,,,,,,
104,,,29/01/2022 16:25,3.5,,,37.75,38,37.375,37.375,37.5,37.25,37.25,37.75,37.125,37.25,37.375,37.125,37.25,37.5,37.875,37.375,37,37.625,38,37.625,37.875,37,37,,,,,,,,
105,,,29/01/2022 16:55,4,,,37.625,38.125,37.625,38.25,37.625,37.5,37.25,37.75,37.25,36.875,37.125,37.25,37.125,37.875,38,37.25,36.875,38.5,37.25,36.75,37.625,37.125,37.75,,,,,,,,
106,,,29/01/2022 17:25,4.5,,,37.75,37.875,37.5,37.625,37,37.5,37.125,37.875,37,36.875,38,36.75,37.375,37.875,37.75,37.5,37.125,38.375,37.625,37.375,38.125,37.375,37.5,,,,,,,,
107,,,29/01/2022 17:55,5,,,37.5,37.625,37.875,37.375,37.375,37.375,36.75,37.5,37,36.875,37.125,37,37.25,38.75,38.125,37.375,36.375,38.125,37.75,37.625,37.5,37.375,37.125,,,,,,,,
108,,,29/01/2022 18:25,5.5,,,37.5,37.75,38.25,38.125,37.625,36.625,37,37.5,37.125,37,37.125,37.125,37,38,37.875,37.125,36.375,37.75,37.5,37.25,37.625,37.5,37.375,,,,,,,,
109,,,29/01/2022 18:55,6,,,37.625,37.625,37.875,38.125,37.625,37.875,37.625,37.625,37,37.125,37,37.375,37.125,37.75,37.75,37.375,36.875,37.75,37.75,36.625,37.625,37.625,37.25,,,,,,,,
110,,,29/01/2022 19:25,6.5,,,37.875,37.75,37.875,37.875,37.625,37.5,37.625,37.75,37.25,37,36.625,36.875,37,37.125,37.875,37.375,37,37.875,37.5,36.75,38,37.125,37.375,,,,,,,,
111,,,29/01/2022 19:55,7,,,38.125,37.625,37.625,37.625,37.75,37,37.75,37.625,36.875,37.375,37.25,36.75,37.125,37.625,37.625,37.125,36.875,37.5,37.375,37,37.75,38.125,37.875,,,,,,,,
112,,,29/01/2022 20:25,7.5,,,37.75,37.625,37.625,37.75,37.75,37.75,37.625,37.625,37.25,37.375,37.375,37.125,37.25,37.5,38.125,37.5,37,38,37.625,37.5,37.5,37.375,37.625,,,,,,,,
113,,,29/01/2022 20:55,8,,,37.875,37.5,37.625,37.75,37.625,37.375,37.375,37.625,37.25,36.625,37.125,37,37.25,37.875,37.875,37.125,36.875,38.125,37.5,37.125,38,37.25,37.5,,,,,,,,
114,,,29/01/2022 21:25,8.5,,,37.875,37.5,37.75,37.625,37.5,37.625,37.375,37.625,37.375,36.875,37.125,37.25,37.375,37.5,37.875,37.125,36.625,37.875,37.625,36.875,37.875,37.25,37.625,,,,,,,,
115,,,29/01/2022 21:55,9,,,37.875,37.5,37.75,37.5,37.5,37.75,37.75,37.5,37.375,37.625,37,36.875,37.25,38.125,37.5,37.375,36.75,37.875,38,37,37.625,37.125,37.75,,,,,,,,
116,,,29/01/2022 22:25,9.5,,,38,37.625,37.5,37.75,37.5,37.5,37.875,37.75,38,37.25,36.875,36.875,37.625,37.375,37.75,37.5,37,38,37.125,37.25,37.375,37.25,37.125,,,,,,,,
117,,,29/01/2022 22:55,10,,,37.75,38.125,38.5,37.75,37.75,37.875,37.5,37.75,37.5,37.125,36.625,36.75,37,37.5,37.625,38.125,37,37.875,37.625,37.125,37.375,37.125,37.25,,,,,,,,
118,,,29/01/2022 23:25,10.5,,,37.75,37.75,37.5,37.875,37.75,38,37.625,37.625,37.375,37.25,36.625,36.625,37.25,37.5,38.125,37.125,37.125,38.125,37.625,37.375,37.75,37.25,37.125,,,,,,,,
119,,,29/01/2022 23:55,11,,,37.875,37.625,37.625,37.75,37.5,38,37.5,37.625,37.5,37.75,36.25,37.125,37.5,38.625,38,37.875,37.125,37.75,37.75,37.25,38.25,37.625,37.625,,,,,,,,
120,,,30/01/2022 00:25,11.5,,,37.875,37.875,37.5,37.75,37.625,38.125,37.5,38,37.625,37,36.625,37.375,37,38.25,38,37.375,37.25,38,37.5,37.625,38,37.5,37.25,,,,,,,,
